Ciudad;Habitaciones;Banhos;Superficie;Terraza;Ascensor;Parking;Tipo_vivienda;Calle;Precio;Barrio;Renta
Bilbao;1;1;50;N;S;N;Piso;Indautxu;850;Indautxu;40401
Bilbao;2;2;126;N;S;N;Piso;Deusto;1400;Deusto;28537
Bilbao;3;2;90;S;S;N;Piso;"Etxezuri Kalea; Uribarri";1200;Uribarri;18654
Bilbao;1;1;60;N;S;N;Apartamento;"Sabino Arana Etorbidea; Basurtu - Zorrotza";850;Basurtu;29709
Bilbao;2;2;100;N;S;N;Piso;Ibaiondo;990;Ibaiondo;30491
Bilbao;2;1;60;N;S;N;Piso;Errekalde;950;Errekalde;21172
Bilbao;3;1;67;S;S;N;Piso;"Errekalde-larraskitu Errepidea; Errekalde";700;Errekalde;21172
Bilbao;3;1;65;N;S;N;Piso;Basurtu - Zorrotza;1500;Basurtu;29709
Bilbao;2;2;80;N;S;N;Piso;"Guisasola Juan Kalea; Begoña - Santutxu";800;Santutxu;18165
Bilbao;1;1;70;N;N;N;Piso;Ibaiondo;1875;Ibaiondo;30491
Bilbao;1;1;50;S;S;N;Apartamento;Basurtu - Zorrotza;875;Basurtu;29709
Bilbao;1;1;45;N;S;N;Apartamento;Indautxu;850;Indautxu;40401
Bilbao;2;2;160;N;S;N;Piso;Abando - Albia;2300;Abando;40300
Bilbao;7;2;173;N;S;N;Piso;Errekalde;1800;Errekalde;21172
Bilbao;1;1;60;N;S;N;Piso;Ibaiondo;800;Ibaiondo;30491
Bilbao;2;1;65;N;S;N;Piso;"Barrio la Cruz; Begoña - Santutxu";750;Santutxu;18165
Bilbao;1;1;60;N;N;N;Loft;LoftIbaiondo;770;Ibaiondo;30491
Bilbao;3;2;130;S;S;N;Piso;Deusto;1200;Deusto;28537
Bilbao;3;2;90;N;S;N;�tico;"Kraus Alfredo Plaza; Errekalde";1000;Errekalde;21172
Bilbao;2;2;75;S;S;N;Piso;"Calle General Eguía; Indautxu";980;Indautxu;40401
Bilbao;2;2;90;N;S;N;Piso;Abando - Albia;1950;Abando;40300
Bilbao;2;2;103;N;S;N;Piso;Abando - Albia;1400;Abando;40300
Bilbao;3;2;85;S;S;N;Piso;"San Adrian Etorbidea; 1; Ibaiondo";1050;Ibaiondo;30491
Bilbao;4;2;160;N;S;N;Piso;Abando - Albia;1600;Abando;40300
Bilbao;2;2;92;N;N;N;Piso;Basurtu - Zorrotza;1100;Basurtu;29709
Bilbao;1;1;50;N;S;N;Piso;"Puente de la Salve; Abando - Albia";975;Abando;40300
Bilbao;2;2;75;N;S;N;D�plex;"Campo Volantin; Uribarri";950;Uribarri;18654
Bilbao;1;1;65;N;S;N;Piso;Abando - Albia;1150;Abando;40300
Bilbao;2;1;75;N;S;N;Piso;Abando - Albia;1150;Abando;40300
Bilbao;1;1;60;N;S;N;Piso;Abando - Albia;1100;Abando;40300
Bilbao;2;1;65;S;S;N;Piso;Errekalde;990;Errekalde;21172
Bilbao;2;2;86;S;S;N;Piso;Abando - Albia;1700;Abando;40300
Bilbao;1;2;60;N;S;N;Piso;"Travesía de Uribitarte; Abando - Albia";850;Abando;40300
Bilbao;1;1;57;N;S;N;Apartamento;Abando - Albia;975;Abando;40300
Bilbao;3;2;107;N;N;N;Piso;"Barrenkale; Ibaiondo";1300;Ibaiondo;30491
Bilbao;1;1;53;N;S;N;Apartamento;Errekalde;875;Errekalde;21172
Bilbao;3;3;115;N;S;N;Piso;Ibaiondo;1450;Ibaiondo;30491
Bilbao;3;2;92;N;S;N;Piso;"Luis Briñas; Basurtu - Zorrotza";1200;Basurtu;29709
Bilbao;3;2;105;N;N;N;Piso;"Calle Islas Canarias; Deusto";1150;Deusto;28537
Bilbao;3;2;96;N;S;N;Piso;Indautxu;1200;Indautxu;40401
Bilbao;3;2;140;N;S;N;Piso;Indautxu;1350;Indautxu;40401
Bilbao;1;1;54;N;N;N;Piso;"Calle Torre; Ibaiondo";950;Ibaiondo;30491
Bilbao;3;3;156;N;S;N;Piso;Deusto;1600;Deusto;28537
Bilbao;2;2;95;N;S;N;Piso;Abando - Albia;1350;Abando;40300
