Habitaciones,Banhos,Superficie,Barrio,Renta,Precio
2,1,74,3,29709,1295
1,1,60,2,30491,1190
3,1,89,2,30491,950
2,2,100,0,40300,1200
9,3,340,0,40300,5000
3,1,90,3,29709,1150
3,2,80,2,30491,1400
2,2,100,0,40300,2500
2,1,80,0,40300,900
2,2,85,1,40401,1200
3,1,86,8,18165,850
3,2,111,2,30491,1300
1,1,56,1,40401,780
3,2,75,1,40401,1500
2,2,80,2,30491,1200
1,1,40,4,28537,750
2,2,87,0,40300,1560
2,1,65,8,18165,750
1,2,98,1,40401,1600
4,2,148,1,40401,1780
3,1,89,1,40401,900
2,2,70,7,18654,1200
2,2,75,4,28537,1050
2,2,75,4,28537,900
3,1,76,1,40401,900
1,1,54,0,40300,800
1,2,130,0,40300,1800
3,2,110,2,30491,1000
3,2,96,6,21172,950
1,1,70,0,40300,1400
3,2,93,3,29709,1100
3,2,75,8,18165,1125
2,2,95,0,40300,1100
2,1,67,6,21172,875
3,2,91,2,30491,1000
3,1,89,2,30491,950
4,2,140,0,40300,1600
3,2,90,1,40401,1200
1,1,60,0,40300,1150
1,1,73,0,40300,1300
3,2,70,2,30491,1200
3,1,90,4,28537,1050
3,1,85,2,30491,1150
4,2,135,6,21172,1200
1,1,70,6,21172,860
1,1,80,2,30491,1290
1,1,62,6,21172,860
2,2,85,1,40401,1200
1,1,52,7,18654,920
3,1,70,7,18654,890
1,1,52,0,40300,850
3,1,68,0,40300,920
1,1,50,0,40300,850
1,1,79,2,30491,1125
2,1,80,4,28537,850
3,2,93,0,40300,1500
2,1,55,2,30491,640
2,2,88,0,40300,1250
1,1,45,0,40300,795
3,2,80,4,28537,1200
1,1,46,0,40300,1200
2,1,65,8,18165,825
1,1,65,2,30491,1190
1,1,50,0,40300,750
2,2,73,0,40300,1100
3,2,100,4,28537,1100
3,2,135,1,40401,750
3,2,101,6,21172,1100
3,1,86,2,30491,950
2,2,78,1,40401,1350
3,1,20,3,29709,360
3,2,90,1,40401,950
